erhverv,arbtim,height,weight,civst,sex,bmi,countsl
NA,NA,NA,NA,G,1,NA,51
1,37,172,70, ,0,23.661438615467823,50
NA,NA,NA,NA,F,1,NA,51
8,38,172,66,G,0,22.30935640886966,52
NA,NA,NA,NA,G,1,NA,51
1,50,172,92,F,0,31.09789075175771,51
NA,NA,NA,NA, ,1,NA,47
NA,NA,NA,NA,U,0,NA,51
2,50,177,65,U,0,20.747550193111813,44
1,50,189,92, ,1,25.755158030290307,53
1,47,188,85, ,1,24.049343594386603,53
3,40,171,82, ,0,28.042816593139772,53
3,50,999,999, ,1,NA,51
1,40,174,67,U,0,22.12973972783723,53
2,25,163,50,G,0,18.818924310286427,46
1,45,179,74, ,1,23.095409007209515,52
1,45,181,84, ,1,25.640242971826257,50
1,39,166,67,F,0,24.31412396574249,50
1,3,160,49,F,0,19.140624999999996,52
1,42,178,74,U,1,23.355636914530994,50
NA,NA,NA,NA, ,0,NA,51
1,40,187,73, ,1,20.875632703251448,37
1,50,176,75,U,1,24.212293388429753,53
1,37,170,67,F,0,23.18339100346021,53
NA,NA,NA,NA, ,1,NA,51
1,40,183,93,U,1,27.77031263997133,53
1,40,158,69, ,0,27.639801313892,51
1,37,175,68,G,0,22.20408163265306,53
1,38,190,185,U,1,51.24653739612189,5
NA,NA,NA,NA,U,1,NA,37
1,37,195,97,U,1,25.509533201840895,53
1,37,177,62,G,0,19.789970953429727,53
1,40,169,66,G,0,23.1084345786212,50
1,37,182,90, ,1,27.17063156623596,47
1,44,185,85,G,1,24.835646457268076,50
1,39,184,82,E,1,24.22022684310019,48
NA,NA,NA,NA,U,0,NA,25
1,50,169,70,F,0,24.508945765204302,53
NA,NA,NA,NA,G,0,NA,51
3,100,191,80,U,1,21.929223431375238,0
1,37,167,68,F,0,24.38237297859371,39
1,35,170,66,U,0,22.837370242214536,52
3,45,170,58, ,0,20.06920415224914,50
3,40,168,57, ,0,20.19557823129252,53
1,45,178,71,U,0,22.408786769347305,52
1,37,169,75,G,0,26.25958474843318,47
NA,NA,NA,NA,U,1,NA,51
1,43,194,86, ,1,22.85046232330747,50
1,55,174,80,G,1,26.42356982428326,48
NA,NA,NA,NA,G,0,NA,40
9,40,160,48,U,0,18.749999999999996,2
NA,NA,NA,NA,U,1,NA,6
1,45,180,80,U,1,24.691358024691358,53
3,47,168,71,U,1,25.15589569160998,48
NA,NA,NA,NA,G,0,NA,51
1,37,999,999,U,1,NA,43
NA,NA,NA,NA,G,1,NA,51
1,45,180,177,G,1,54.629629629629626,49
NA,NA,NA,NA, ,1,NA,51
NA,NA,NA,NA, ,1,NA,14
1,45,164,52,U,0,19.333729922665082,50
NA,NA,NA,NA,G,1,NA,51
NA,NA,NA,NA, ,1,NA,51
NA,NA,NA,NA,F,0,NA,0
1,35,165,70,U,0,25.71166207529844,45
1,45,190,115,G,1,31.855955678670362,14
1,37,173,73, ,1,24.3910588392529,52
1,50,169,74,U,0,25.909456951787405,53
NA,NA,NA,NA,G,0,NA,51
3,40,172,56, ,0,18.92915089237426,50
1,37,179,87, ,1,27.15271058955713,49
NA,NA,NA,NA,F,1,NA,51
1,38,178,70, ,0,22.093170054286073,52
NA,NA,NA,NA,F,1,NA,0
3,80,172,70,G,0,23.661438615467823,46
NA,NA,NA,NA,U,1,NA,51
1,40,182,90,U,1,27.17063156623596,47
1,37,181,104,F,1,31.745062727022983,29
1,40,190,82,U,1,22.714681440443215,50
NA,NA,NA,NA, ,0,NA,24
1,40,185,80,U,1,23.37472607742878,48
2,26,176,62, ,0,20.015495867768596,53
NA,NA,NA,NA,G,1,NA,41
1,37,179,70,U,1,21.847008520333322,49
1,40,177,76,U,1,24.258674071946118,52
NA,NA,NA,NA,U,0,NA,51
5,45,160,61, ,0,23.828124999999996,52
NA,NA,NA,NA, ,0,NA,51
NA,NA,NA,NA,O,1,NA,51
NA,NA,NA,NA,U,1,NA,51
NA,NA,NA,NA, ,0,NA,51
1,37,180,95,U,0,29.320987654320987,38
NA,NA,NA,NA,G,0,NA,51
3,50,180,90,G,1,27.777777777777775,46
1,49,172,85,F,0,28.73174689021093,26
1,42,189,75,U,1,20.99605274208449,50
3,50,174,73, ,1,24.111507464658473,49
1,42,193,84,U,1,22.550940964858118,50
NA,NA,NA,NA,U,1,NA,51
1,45,162,70,G,0,26.672763298277697,24
1,38,158,85,G,0,34.049030604069856,32
1,37,178,79,F,0,24.933720489837143,52
1,50,999,999,U,1,NA,50
2,55,174,84,U,1,27.74474831549742,48
NA,NA,NA,NA, ,0,NA,51
NA,NA,NA,NA,U,1,NA,51
1,37,165,61,U,0,22.4058769513315,49
1,37,181,77, ,1,23.503556057507403,53
3,45,999,999, ,0,NA,51
1,45,180,84,U,1,25.925925925925924,53
1,40,174,74,U,1,24.441802087462015,53
NA,NA,NA,NA,U,1,NA,46
1,45,175,115, ,0,37.55102040816327,53
1,38,177,68,U,1,21.705129432793896,50
1,45,177,81,G,1,25.854639471416256,53
1,35,180,66,U,0,20.37037037037037,48
1,40,176,62,U,0,20.015495867768596,52
NA,NA,NA,NA,F,0,NA,51
1,37,173,52,G,0,17.374452871796585,27
1,38,174,76, ,1,25.102391333069097,16
NA,NA,NA,NA,U,1,NA,51
1,42,172,78,G,1,26.365603028664147,53
1,45,165,54,G,0,19.834710743801654,53
1,40,183,80,G,1,23.888440980620498,53
NA,NA,NA,NA,U,0,NA,51
1,37,171,65, ,0,22.229061933586404,50
1,35,192,92,U,1,24.95659722222222,52
NA,NA,NA,NA,G,1,NA,51
1,41,180,78,U,1,24.074074074074073,52
1,32,170,70,G,0,24.221453287197235,50
NA,NA,NA,NA, ,0,NA,51
NA,NA,NA,NA,U,0,NA,51
1,40,178,78,G,0,24.61810377477591,45
1,42,196,81,G,1,21.084964598084134,50
1,39,159,56, ,0,22.151022507021082,52
1,40,170,75,G,0,25.95155709342561,6
1,50,193,100,U,1,26.846358291497758,50
1,40,188,88,G,1,24.898143956541425,51
NA,NA,NA,NA, ,1,NA,51
2,30,170,57, ,0,19.723183391003463,50
3,52,180,85, ,1,26.234567901234566,50
1,39,159,52,G,0,20.56880661366243,20
1,40,180,105, ,1,32.407407407407405,53
1,65,185,83,G,1,24.251278305332356,47
1,37,190,84, ,1,23.26869806094183,52
NA,NA,NA,NA, ,0,NA,51
NA,NA,NA,NA, ,0,NA,51
NA,NA,NA,NA, ,0,NA,51
NA,NA,NA,NA, ,1,NA,51
1,40,173,60, ,0,20.04744562130375,53
1,40,182,86, ,1,25.963047941069917,52
NA,NA,NA,NA,U,0,NA,37
1,50,188,95, ,1,26.87867813490267,52
4,10,183,95, ,1,28.367523664486843,53
9,39,172,72,U,1,24.337479718766904,37
NA,NA,NA,NA, ,0,NA,51
NA,NA,NA,NA, ,0,NA,51
1,40,171,58,U,0,19.835162956123252,51
1,50,175,60,G,0,19.591836734693878,52
