age,erhverv,arbtim,selfemp
46,NA,NA,NA
64,1,37,0
59,NA,NA,NA
48,8,38,0
38,NA,NA,NA
32,1,50,0
21,NA,NA,NA
39,NA,NA,NA
29,2,50,0
21,1,50,0
51,1,47,0
46,3,40,1
33,3,50,1
34,1,40,0
54,2,25,0
32,1,45,0
50,1,45,0
59,1,39,0
38,1,3,0
29,1,42,0
49,NA,NA,NA
36,1,40,0
26,1,50,0
28,1,37,0
29,NA,NA,NA
30,1,40,0
57,1,40,0
48,1,37,0
42,1,38,0
31,NA,NA,NA
40,1,37,0
34,1,37,0
46,1,40,0
60,1,37,0
46,1,44,0
33,1,39,0
21,NA,NA,NA
52,1,50,0
53,NA,NA,NA
36,3,100,1
38,1,37,0
46,1,35,0
51,3,45,1
51,3,40,1
42,1,45,0
43,1,37,0
43,NA,NA,NA
30,1,43,0
48,1,55,0
31,NA,NA,NA
31,9,40,0
37,NA,NA,NA
26,1,45,0
24,3,47,1
30,NA,NA,NA
36,1,37,0
34,NA,NA,NA
37,1,45,0
55,NA,NA,NA
35,NA,NA,NA
29,1,45,0
47,NA,NA,NA
27,NA,NA,NA
39,NA,NA,NA
51,1,35,0
39,1,45,0
59,1,37,0
34,1,50,0
36,NA,NA,NA
51,3,40,1
45,1,37,0
39,NA,NA,NA
23,1,38,0
61,NA,NA,NA
45,3,80,1
29,NA,NA,NA
43,1,40,0
53,1,37,0
28,1,40,0
21,NA,NA,NA
31,1,40,0
46,2,26,0
33,NA,NA,NA
35,1,37,0
32,1,40,0
28,NA,NA,NA
58,5,45,0
23,NA,NA,NA
30,NA,NA,NA
41,NA,NA,NA
44,NA,NA,NA
30,1,37,0
42,NA,NA,NA
38,3,50,1
36,1,49,0
34,1,42,0
28,3,50,1
33,1,42,0
26,NA,NA,NA
27,1,45,0
43,1,38,0
29,1,37,0
28,1,50,0
30,2,55,0
62,NA,NA,NA
44,NA,NA,NA
40,1,37,0
43,1,37,0
50,3,45,1
36,1,45,0
41,1,40,0
28,NA,NA,NA
59,1,45,0
34,1,38,0
32,1,45,0
38,1,35,0
40,1,40,0
46,NA,NA,NA
34,1,37,0
59,1,38,0
32,NA,NA,NA
41,1,42,0
40,1,45,0
50,1,40,0
60,NA,NA,NA
57,1,37,0
32,1,35,0
32,NA,NA,NA
31,1,41,0
60,1,32,0
24,NA,NA,NA
30,NA,NA,NA
34,1,40,0
32,1,42,0
50,1,39,0
42,1,40,0
28,1,50,0
34,1,40,0
31,NA,NA,NA
63,2,30,0
55,3,52,1
34,1,39,0
54,1,40,0
33,1,65,0
55,1,37,0
23,NA,NA,NA
27,NA,NA,NA
57,NA,NA,NA
48,NA,NA,NA
49,1,40,0
40,1,40,0
30,NA,NA,NA
44,1,50,0
33,4,10,1
29,9,39,0
49,NA,NA,NA
43,NA,NA,NA
26,1,40,0
49,1,50,0
49,1,40,0
34,NA,NA,NA
59,NA,NA,NA
57,NA,NA,NA
57,1,32,0
21,9,45,0
30,3,40,1
26,NA,NA,NA
55,1,40,0
34,1,37,0
53,NA,NA,NA
38,1,37,0
61,1,40,0
46,1,40,0
27,1,50,0
55,1,40,0
34,NA,NA,NA
57,1,50,0
40,NA,NA,NA
42,NA,NA,NA
27,NA,NA,NA
25,NA,NA,NA
40,NA,NA,NA
21,NA,NA,NA
36,2,23,0
59,NA,NA,NA
38,1,37,0
40,1,35,0
42,1,37,0
35,NA,NA,NA
54,3,55,1
33,2,29,0
63,NA,NA,NA
59,1,30,0
40,1,37,0
27,NA,NA,NA
31,1,48,0
29,1,41,0
29,1,38,0
44,NA,NA,NA
37,1,54,0
39,1,50,0
39,1,40,0
62,1,45,0
50,1,40,0
54,2,26,0
52,1,40,0
52,NA,NA,NA
50,1,50,0
31,1,50,0
54,1,37,0
33,1,38,0
22,NA,NA,NA
26,1,37,0
54,1,42,0
37,NA,NA,NA
56,NA,NA,NA
54,NA,NA,NA
56,1,37,0
35,1,39,0
60,1,40,0
62,NA,NA,NA
37,1,48,0
62,1,44,0
60,NA,NA,NA
60,1,45,0
58,3,35,1
39,1,37,0
39,1,50,0
62,1,37,0
47,NA,NA,NA
32,3,70,1
32,1,37,0
53,2,25,0
36,1,35,0
45,NA,NA,NA
37,2,20,0
26,1,37,0
36,1,40,0
36,NA,NA,NA
51,1,40,0
51,1,40,0
64,1,45,0
28,NA,NA,NA
34,1,55,0
38,1,37,0
21,NA,NA,NA
23,NA,NA,NA
51,1,34,0
32,1,37,0
23,NA,NA,NA
44,NA,NA,NA
48,1,37,0
55,1,35,0
34,1,47,0
34,1,35,0
42,1,40,0
23,NA,NA,NA
48,1,43,0
29,1,40,0
59,NA,NA,NA
63,1,39,0
40,1,35,0
36,1,52,0
62,NA,NA,NA
45,1,35,0
49,NA,NA,NA
32,1,41,0
49,1,40,0
30,1,40,0
53,1,37,0
40,NA,NA,NA
38,NA,NA,NA
40,NA,NA,NA
61,1,37,0
28,NA,NA,NA
32,1,40,0
36,NA,NA,NA
55,NA,NA,NA
53,NA,NA,NA
36,NA,NA,NA
34,NA,NA,NA
38,1,40,0
32,1,31,0
59,1,40,0
36,1,45,0
59,1,30,0
40,1,45,0
59,NA,NA,NA
40,1,37,0
44,1,55,0
27,NA,NA,NA
31,1,45,0
29,1,60,0
53,1,45,0
42,2,30,0
42,1,40,0
46,NA,NA,NA
31,NA,NA,NA
29,1,39,0
56,NA,NA,NA
33,1,49,0
61,1,55,0
61,NA,NA,NA
23,6,37,0
44,1,37,0
38,NA,NA,NA
63,NA,NA,NA
42,1,40,0
25,2,25,0
52,1,40,0
31,1,45,0
35,1,50,0
33,1,40,0
33,NA,NA,NA
33,2,29,0
60,1,42,0
60,NA,NA,NA
31,NA,NA,NA
42,NA,NA,NA
21,3,100,1
48,1,50,0
27,2,20,0
46,NA,NA,NA
41,1,37,0
41,NA,NA,NA
29,1,33,0
25,1,38,0
52,1,50,0
54,1,39,0
22,6,40,0
28,NA,NA,NA
35,NA,NA,NA
33,1,35,0
26,1,46,0
26,1,35,0
30,1,39,0
30,1,45,0
56,4,45,1
39,1,35,0
22,NA,NA,NA
35,2,37,0
39,1,42,0
39,1,50,0
60,1,32,0
62,NA,NA,NA
32,1,37,0
32,NA,NA,NA
32,1,55,0
55,NA,NA,NA
64,NA,NA,NA
37,NA,NA,NA
62,1,50,0
28,9,40,0
30,NA,NA,NA
53,1,32,0
53,NA,NA,NA
40,NA,NA,NA
26,1,43,0
28,2,55,0
41,1,40,0
47,NA,NA,NA
51,NA,NA,NA
49,3,40,1
30,1,45,0
38,1,35,0
38,1,45,0
57,2,27,0
61,1,32,0
44,1,40,0
44,1,40,0
61,NA,NA,NA
61,NA,NA,NA
44,1,42,0
42,1,70,0
55,1,32,0
34,1,50,0
32,1,44,0
30,1,42,0
36,1,35,0
36,1,37,0
38,NA,NA,NA
25,NA,NA,NA
32,NA,NA,NA
51,1,50,0
40,2,30,0
19,NA,NA,NA
42,NA,NA,NA
46,NA,NA,NA
25,1,38,0
31,1,38,0
29,1,40,0
59,1,40,0
38,NA,NA,NA
42,1,45,0
36,1,37,0
59,1,37,0
38,8,48,0
59,1,39,0
47,1,39,0
45,1,37,0
26,NA,NA,NA
32,NA,NA,NA
30,NA,NA,NA
34,1,45,0
42,NA,NA,NA
55,2,30,0
59,NA,NA,NA
42,1,60,0
32,1,45,0
30,1,40,0
34,1,37,0
40,NA,NA,NA
23,4,30,1
27,NA,NA,NA
31,NA,NA,NA
29,NA,NA,NA
29,9,32,0
38,NA,NA,NA
42,1,40,0
25,NA,NA,NA
50,1,35,0
33,1,37,0
44,1,45,0
21,2,11,0
42,NA,NA,NA
54,1,47,0
20,NA,NA,NA
27,9,32,0
27,3,50,1
25,1,43,0
48,NA,NA,NA
23,NA,NA,NA
25,1,38,0
22,NA,NA,NA
41,NA,NA,NA
33,NA,NA,NA
31,NA,NA,NA
29,NA,NA,NA
31,9,0,0
56,NA,NA,NA
35,1,37,0
39,NA,NA,NA
37,1,35,0
62,NA,NA,NA
28,1,37,0
39,NA,NA,NA
37,1,37,0
60,9,999,0
32,NA,NA,NA
55,NA,NA,NA
34,1,40,0
36,1,40,0
39,NA,NA,NA
43,NA,NA,NA
28,NA,NA,NA
45,1,37,0
51,1,38,0
34,NA,NA,NA
24,NA,NA,NA
30,1,45,0
24,NA,NA,NA
47,1,60,0
28,1,40,0
26,1,38,0
51,1,37,0
30,1,45,0
30,1,40,0
40,1,30,0
42,NA,NA,NA
28,1,37,0
32,3,25,1
30,1,40,0
32,NA,NA,NA
34,NA,NA,NA
38,NA,NA,NA
38,NA,NA,NA
42,NA,NA,NA
23,NA,NA,NA
51,1,37,0
32,NA,NA,NA
30,1,37,0
53,NA,NA,NA
34,NA,NA,NA
48,1,37,0
27,NA,NA,NA
31,1,40,0
38,3,40,1
36,1,45,0
63,NA,NA,NA
47,1,8,0
45,1,37,0
32,1,40,0
30,1,50,0
53,2,37,0
34,1,37,0
23,1,999,0
51,9,34,0
