cntry,news,polintr,vote,age,gndr,eduyrs,edutype,pdwrk,hincfel,pstplonl,contplt,netusoft,netustm,trstplt,trstprt,cptppola
SE,60,2,1,62,Female,12,Gymnasial uddannelse,1,1,2,1,5,240,4,4,2
SE,30,3,1,34,Female,18,Universitetsuddannelse,0,2,2,2,5,540,4,4,2
SE,5,4,1,41,Female,16,Gymnasial uddannelse,0,3,2,2,5,780,2,4,1
SE,90,2,1,38,Male,12,Gymnasial uddannelse,1,2,1,1,5,480,3,3,4
SE,45,3,1,65,Female,18,Universitetsuddannelse,1,1,2,2,5,120,7,7,2
SE,5,3,1,28,Female,12,Gymnasial uddannelse,0,3,2,2,5,180,4,2,4
SE,120,2,1,86,Female,9,Videregående uddannelse,0,2,2,1,3,NA,NA,5,2
SE,60,1,1,65,Female,12,Gymnasial uddannelse,1,1,2,1,5,510,6,6,5
SE,60,2,1,69,Female,15,Videregående uddannelse,0,1,2,2,5,45,1,3,3
SE,90,3,1,58,Female,12,Videregående uddannelse,1,1,2,2,5,30,5,6,3
SE,30,2,1,66,Male,12,Gymnasial uddannelse,0,2,2,2,5,90,4,4,4
SE,60,2,1,66,Female,13,Gymnasial uddannelse,1,1,2,2,5,600,3,0,2
SE,30,3,1,27,Female,15,Gymnasial uddannelse,1,1,2,2,5,300,5,5,3
SE,15,2,1,72,Male,11,Gymnasial uddannelse,0,2,2,2,5,60,5,8,2
SE,60,2,1,71,Male,20,Universitetsuddannelse,0,1,2,2,5,120,7,6,3
SE,15,1,1,21,Male,13,Gymnasial uddannelse,0,2,2,2,5,300,7,7,4
SE,30,2,1,35,Male,16,Universitetsuddannelse,0,4,1,2,5,300,2,4,3
SE,60,1,1,73,Female,15,Videregående uddannelse,0,1,2,2,5,420,3,2,3
SE,60,1,1,54,Male,12,Gymnasial uddannelse,0,1,2,1,5,180,4,4,4
SE,60,1,1,77,Female,19,Universitetsuddannelse,0,1,2,2,5,150,5,5,3
SE,30,3,1,20,Male,12,Gymnasial uddannelse,0,2,1,2,5,300,1,3,2
SE,30,1,1,37,Male,17,Universitetsuddannelse,1,1,2,1,5,600,8,8,3
SE,0,4,2,44,Female,18,Videregående uddannelse,1,1,2,2,3,NA,4,4,3
SE,30,1,1,40,Female,17,Universitetsuddannelse,0,1,2,2,5,540,3,8,4
SE,NA,1,1,51,Female,16,Universitetsuddannelse,1,1,1,2,5,600,7,6,3
SE,150,3,1,82,Female,9,Grundskole,0,1,2,2,1,NA,3,2,1
SE,45,1,1,63,Female,17,Universitetsuddannelse,1,1,2,1,5,300,7,6,4
SE,240,1,1,85,Female,13,Universitetsuddannelse,0,1,2,2,5,480,4,4,4
SE,60,1,1,50,Male,18,Universitetsuddannelse,1,1,1,1,5,480,7,7,5
SE,20,2,1,31,Female,13,Gymnasial uddannelse,0,2,2,2,5,120,3,3,3
SE,30,2,1,35,Female,16,Universitetsuddannelse,1,1,1,2,5,480,6,6,3
SE,60,1,1,48,Male,14,Videregående uddannelse,0,4,2,2,5,300,5,5,5
SE,60,2,1,33,Female,14,Videregående uddannelse,1,1,1,2,5,270,3,1,3
SE,60,2,1,43,Female,15,Universitetsuddannelse,1,1,2,2,5,300,3,3,2
SE,60,3,1,45,Female,16,Universitetsuddannelse,1,2,2,2,5,420,6,6,3
SE,90,1,1,64,Male,14,Videregående uddannelse,0,2,1,2,5,180,5,5,2
SE,180,1,1,77,Male,12,Gymnasial uddannelse,0,2,2,1,3,NA,7,7,4
SE,15,1,1,26,Female,18,Gymnasial uddannelse,0,2,1,1,5,120,3,3,2
SE,5,2,1,46,Female,14,Videregående uddannelse,1,1,2,2,5,60,7,7,2
SE,15,2,1,46,Male,16,Universitetsuddannelse,1,2,2,2,5,120,3,3,2
SE,20,3,2,21,Male,12,Videregående uddannelse,0,2,2,2,5,600,4,4,3
SE,60,1,1,65,Male,10,Grundskole,0,1,1,2,5,180,8,7,3
SE,5,3,1,43,Female,17,Universitetsuddannelse,1,1,2,2,5,240,7,8,2
SE,NA,1,1,58,Female,14,Videregående uddannelse,1,1,1,1,5,600,9,7,5
SE,10,3,1,44,Female,19,Videregående uddannelse,1,1,2,2,4,30,7,7,3
SE,30,2,1,54,Female,15,Universitetsuddannelse,1,1,2,1,5,300,6,6,3
SE,30,2,1,33,Male,17,Universitetsuddannelse,1,1,2,2,5,150,4,5,4
SE,60,3,2,69,Male,16,Universitetsuddannelse,0,1,2,2,5,60,6,6,2
SE,NA,2,1,64,Male,9,Grundskole,0,2,2,2,1,NA,4,4,3
SE,60,3,1,56,Male,11,Gymnasial uddannelse,1,1,2,2,5,540,6,6,2
SE,240,2,1,70,Female,14,Videregående uddannelse,0,2,2,2,5,480,5,5,2
SE,60,3,1,80,Female,19,Universitetsuddannelse,0,1,2,2,5,180,0,3,3
SE,30,3,1,71,Male,10,Grundskole,0,1,2,2,5,120,5,6,2
SE,0,3,1,40,Male,10,Gymnasial uddannelse,1,2,1,2,5,60,7,7,2
SE,50,3,1,36,Female,17,Universitetsuddannelse,1,1,1,1,5,NA,0,0,3
SE,60,2,1,42,Female,17,Universitetsuddannelse,1,1,NA,2,5,510,7,6,3
SE,60,2,1,86,Female,9,Grundskole,0,2,2,2,3,NA,0,0,1
SE,30,2,1,44,Male,17,Universitetsuddannelse,1,1,1,1,5,600,7,7,3
SE,15,4,1,38,Female,17,Videregående uddannelse,1,2,2,2,5,360,4,5,2
SE,30,3,1,79,Male,16,Universitetsuddannelse,0,1,2,2,2,NA,3,3,1
SE,60,1,1,68,Male,11,Grundskole,0,4,2,2,5,300,2,NA,3
SE,60,2,1,58,Male,11,Gymnasial uddannelse,1,1,1,2,5,60,3,3,2
SE,60,3,1,57,Male,11,Gymnasial uddannelse,1,1,2,2,5,120,7,7,2
SE,120,1,1,64,Female,NA,Universitetsuddannelse,1,1,2,1,5,180,7,7,3
SE,180,1,1,80,Male,14,Gymnasial uddannelse,0,2,2,1,5,60,0,0,4
SE,NA,1,1,75,Female,19,Videregående uddannelse,0,1,2,2,5,150,6,6,2
SE,60,1,1,64,Female,13,Videregående uddannelse,1,1,1,2,4,20,9,9,4
SE,30,1,1,50,Male,16,Universitetsuddannelse,1,1,1,2,5,720,7,7,4
SE,60,2,1,65,Female,19,Universitetsuddannelse,1,1,2,2,5,240,5,5,3
SE,120,1,1,80,Male,19,Universitetsuddannelse,1,1,2,1,5,120,3,4,3
SE,60,3,1,60,Male,13,Gymnasial uddannelse,1,1,2,2,5,180,7,6,1
SE,240,1,1,75,Male,15,Gymnasial uddannelse,0,1,2,2,5,210,6,6,3
SE,180,2,1,69,Female,11,Gymnasial uddannelse,0,1,2,2,5,120,7,6,3
SE,120,3,1,74,Female,12,Grundskole,0,1,2,2,5,105,5,5,1
SE,120,2,1,76,Male,NA,Universitetsuddannelse,0,1,2,1,3,NA,1,5,4
SE,120,1,1,79,Male,16,Universitetsuddannelse,0,1,1,2,5,90,7,7,4
SE,60,2,1,65,Female,17,Universitetsuddannelse,0,1,2,2,5,105,4,5,4
SE,30,1,1,46,Male,17,Universitetsuddannelse,1,1,2,1,5,60,5,7,3
SE,15,3,1,49,Female,21,Universitetsuddannelse,1,2,1,1,5,240,NA,NA,2
SE,30,3,1,48,Female,17,Universitetsuddannelse,1,1,2,2,5,300,7,6,4
SE,60,1,1,26,Female,12,Gymnasial uddannelse,1,1,2,2,5,660,6,5,4
SE,180,1,1,65,Female,11,Gymnasial uddannelse,1,1,1,2,5,480,1,1,3
SE,NA,3,1,44,Male,20,Gymnasial uddannelse,0,2,2,2,5,180,3,2,3
SE,60,2,1,80,Female,13,Videregående uddannelse,0,1,2,1,5,30,7,5,3
SE,60,2,1,71,Female,11,Gymnasial uddannelse,1,2,2,2,5,90,5,5,2
SE,30,2,1,46,Male,16,Universitetsuddannelse,1,2,2,2,5,240,7,7,3
SE,90,2,1,57,Female,19,Universitetsuddannelse,1,1,2,2,5,120,7,6,3
SE,60,3,1,55,Male,11,Gymnasial uddannelse,1,1,2,2,5,120,8,8,3
