"","height","books","receipt","petowner","dog","cat","bird","fish","rodent","snake","turtle","other","gender","region","year"
"1",179,25,219.25,1,1,1,0,0,0,0,0,0,2,NA,2022
"2",157,113,259.85,1,0,1,0,0,0,0,0,1,2,NA,2022
"3",183,20,173.95,2,0,0,0,0,0,0,0,0,2,NA,2022
"4",169,30,42,2,0,0,0,0,0,0,0,0,2,NA,2022
"5",164,61,127,2,0,0,0,0,0,0,0,0,2,NA,2022
"6",173,128,367,1,1,0,0,0,0,0,0,0,2,NA,2022
"7",169,75,277.65,2,0,0,0,0,0,0,0,0,2,NA,2022
"8",167,60,249.5,2,0,0,0,0,0,0,0,0,2,NA,2022
"9",160,30,180,2,0,0,0,0,0,0,0,0,2,NA,2022
"10",163,40,146.9,2,0,0,0,0,0,0,0,0,2,NA,2022
"11",NA,NA,NA,2,0,0,0,0,0,0,0,0,1,NA,2022
"12",180,60,98,2,0,0,0,0,0,0,0,0,2,NA,2022
"13",190,45,456,1,1,0,0,0,0,0,0,0,1,NA,2022
"14",171,10,75,2,0,0,0,0,0,0,0,0,2,NA,2022
"15",166,80,18,2,0,0,0,0,0,0,0,0,2,NA,2022
"16",188,30,234,2,0,0,0,0,0,0,0,0,1,NA,2022
"17",164,60,64,2,0,0,0,0,0,0,0,0,2,NA,2022
"18",168,40,131.5,1,1,0,0,0,0,0,0,0,2,NA,2022
"19",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2022
"20",173,30,39,2,0,0,0,0,0,0,0,0,2,NA,2022
"21",162,10,150.85,2,0,0,0,0,0,0,0,0,2,NA,2022
"22",178,45,155.1,2,0,0,0,0,0,0,0,0,2,NA,2022
"23",160,27,121.5,2,0,0,0,0,0,0,0,0,2,NA,2022
"24",164,22,173,2,0,0,0,0,0,0,0,0,2,NA,2022
"25",168,20,70,2,0,0,0,0,0,0,0,0,2,NA,2022
"26",162,80,217.4,2,0,0,0,0,0,0,0,0,2,NA,2022
"27",161,34,36.5,2,0,0,0,0,0,0,0,0,2,NA,2022
"28",164,78,51,2,0,0,0,0,0,0,0,0,2,NA,2022
"29",193,57,333.15,2,0,0,0,0,0,0,0,0,1,NA,2022
"30",160,30,174.65,2,0,0,0,0,0,0,0,0,2,NA,2022
"31",169,318,42,2,0,0,0,0,0,0,0,0,2,NA,2022
"32",172,21,99.8,2,0,0,0,0,0,0,0,0,2,NA,2022
"33",179,20,8,1,1,0,0,0,0,0,0,0,2,NA,2022
"34",162,50,277,1,1,0,0,0,0,0,0,0,2,NA,2022
"35",160,13,49.75,2,0,0,0,0,0,0,0,0,2,NA,2022
"36",164,89,137,2,0,0,0,0,0,0,0,0,2,NA,2022
"37",165,20,87,2,0,0,0,0,0,0,0,0,2,NA,2022
"38",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2022
"39",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2022
"40",179,50,82.5,1,0,1,0,0,0,0,0,0,1,NA,2022
"41",166,60,17.95,2,0,0,0,0,0,0,0,0,2,NA,2022
"42",168,47,140.9,2,0,0,0,0,0,0,0,0,2,NA,2022
"43",187,17,173,2,0,0,0,0,0,0,0,0,1,NA,2022
"44",166,35,175,2,0,0,0,0,0,0,0,0,2,NA,2022
"45",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2022
"46",190,75,45,2,0,0,0,0,0,0,0,0,1,NA,2022
"47",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2022
"48",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2022
"49",178,40,49.95,1,1,0,0,0,0,0,0,0,1,NA,2022
